Industry,Company,Address,Suburb,State,Postcode,Phone,Email,Website,Name
,Balranald Community Arts &Crafts,51 Mayall St,Balranald,VIC,2715,(03) 5020 0200,,,
,Cafe Net,74 Sydney Rd,Coburg,VIC,3058,(03) 9386 3222,,,
,Cygnet Community On-Line Centre Inc,14 Mary St,Cygnet,TAS,7112,(03) 6295 0068,,,
,Guf Goodgame,136 York St,Launceston,TAS,7250,(03) 6333 0446,,http://www.guf.com.au,
,I Coffee Lounge & Convenience Store,25 Glenferrie Rd,Malvern,VIC,3144,(03) 9078 6358,,www.icoffeelounge.com.au,
,iLine Interactive,85 Stirling St,Perth,WA,6000,(08) 9227 1400,,,
,iLine Interactive,268 Newcastle St,Northbridge,WA,6003,(08) 9228 3755,,,
,iLine Interactive,80 High St,Fremantle,WA,6160,(08) 9336 6080,,www.iline.com.au,
,iLine Interactive,,Northbridge,WA,6003,(08) 9328 8005,pmc@iline.com.au,www.iline.com.au,
,Internet Planet,Victoria St,Bunbury,WA,6230,(08) 9791 6211,,,
,ivinyl Internet Lounge,2/ 226 Oxford St,Leederville,WA,6007,(08) 9443 2665,,,
,MC Internet,Lvl 1/ 276 Russel St,Melbourne,VIC,3000,(03) 9654 6880,,,
,Bacio Dolce Cafe,651 Glenferrie Rd,Hawthorn,VIC,3122,(03) 9078 8341,,,
,Cydus Internet & Lan Games,292 Victoria St,North Melbourne,VIC,3051,(03) 9326 3069,cydus.melb@gmail.com,www.cydus.com.au,
,MC Internet Perth Pty Ltd,Shop 2/ 114 Murray St,Perth,WA,6000,(08) 9325 9881,,,
,Cafe de la Rue,51 Deakin Ave,Mildura,VIC,3500,(03) 5023 5800,,,
,Chaos Games,95 Wilson St,Horsham,VIC,3400,(03) 5347 0443,retrogamelab@live.com,,
,EB Games,"Shop R 051,Port Phillip Plaza Shopng Cntr, Boneo Rd",Rosebud,VIC,3939,(03) 5982 0430,,ebgames.com.au,
,EB Games,"Shop 42, Seaford Shopping Centre, Commercial Rd Cnr The Parade",Seaford Rise,SA,5169,(08) 8327 1679,,ebgames.com.au,
,Internet Station,Shop B 15 131 William St,Perth,WA,6805,(08) 9226 5373,,,
,Isaac & Jovan Pty Ltd,360A Brunswick St,Fitzroy,VIC,3065,(03) 9416 3618,,,
,Aztec,Gouger St,Adelaide,SA,5000,(08) 8212 0282,,,
,Galactica DMZ,2 Hamersley St,Broome,WA,6725,(08) 9192 5897,,,
,Internet Cafe,14 Forrest St,Collie,WA,6225,(08) 9734 4108,,,
,ROFL Cafe,Ste 8/ 3 Alexandra St,Melton,VIC,3337,(03) 9971 5151,,,
,Webcity International Pty Ltd,565 Hay St,Perth,WA,6000,(08) 9325 8828,,,
,Caulfield Network Gaming,15 Derby Rd,Caulfield East,VIC,3145,(03) 9569 2645,,,
,Cyber Bunker,135 Maude St,Shepparton,VIC,3630,(03) 5822 4880,,,
,Gamers Choice,Unit 4/ 45 Central Walk,Joondalup,WA,6027,(08) 9300 9910,,,
,Graaf Computer Systems Pty Ltd,155 Barker St,Castlemaine,VIC,3450,(03) 5470 6690,,,
,Cyberage Internet Cafe,587 Station St,Box Hill,VIC,3128,(03) 9890 3880,,,
,Digital Network Arena,Cnr Oats & Shepperton Rd,East Victoria Park,WA,6101,(08) 9355 5655,,,
,Dot Com Internet Cafe,349 Elizabeth St,Melbourne,VIC,3000,(03) 9018 3001,,,
,Hao Empire International Pty Ltd,40 Wickham St,East Perth,WA,6004,(08) 9325 6967,,,
,Nexus Gaming Lounge,Elizabeth Mall 55 Elizabeth St,Hobart,TAS,7000,(03) 6234 2557,,,
,Old Station Coffee Lounge,5 Carmody Pl,Bunbury,WA,6230,(08) 9791 1254,,,
,Palm Video,2365 Point Nepean Rd,Rye,VIC,3941,(03) 5985 5017,,,
,Palm Video,1445 Point Nepean Rd,Rosebud,VIC,3939,(03) 5986 5311,,,
,Proserve Consultants Pty Ltd,Shop 1/ 1 Bouverie St,Carlton,VIC,3053,(03) 9349 2131,,,
,Proserve Consultants Pty Ltd,633 Rathdowne St,Carlton North,VIC,3054,(03) 9349 4511,,,
,4 Play Games,Ocean View Plaza Shop 24/ 10-12 Scarborough Beach Rd,Scarborough,WA,6019,(08) 9341 1466,,,
,Arena Internet Cafe,264 Rundle St,Adelaide,SA,5000,(08) 8223 3481,,,
,Austcyber Cafe & Internet,,suppressed,suppressed,,(03) 5428 6437,,,
